id,comment,label
1,`හුදෙකලා´ එකේ `ද´ ඇහෙනවද කාටහරි,0
2,18ක පෙනුමක් තියෙන්නේ ,0
3,2020 එනවා කිව්නාට මෙහෙම එයි කියලා හිතුවේ නෑ පට්ට,0
4,25 කැල්ල..හම්මෝ..,0
5,25 කෙල්ල අයියලගෙ කාලද කොහෙද ඉන්නෙ,1
6,25 ක් වගේ ???ඉතින් වැලලියන් ,1
7,25 ලුක් එක දැකල ඔලුව සවුත්තු උන තරිදු...,0
8,25ක පෙනුමක් කියපු කෑල්ලේ ඉදන් බලන එක නතර කලා ,0
9,"33ක් ගුවන්තොටුපළවල ලෝකයේ හිරවෙලා ඉන්නවා ඩුබායි 3 ඉන්නවලූ 3 දෙනෙක් ගන්න එක ගුවන් යානයක් එවන්නේ රජයේ ලගම ගොටු ද ඔබතුමා මේවා අහන්නෙ නැද්ද ? ටික්ට්ස් අවලංගු ,විසා නොමැති ,ලෙඩ්ඩු කොතරම් ඉන්නවඩ ගුවන් යානයක 200 ක් වත් යන්න පුලුවන් නේද",0
10,5 දෙනා කිව්වෙ මේ පස්දෙනාද..,0
11,5 ම සීස කරල ගතතෙ අනිත් උන් හුකද්දි හිරට තියෙන්න ඕන නිසාද ..බලු හුත්ති ..,1
12,50 එකෙක් අරිද්දි 25 එකෙක් ඇරියා වගේ ඇති..,1
13,6 වෙනි දරුව මගෙ කියලා හිතුන මම,0
14,6 වෙනි දරුවා හදාගන්න ඕනි වෙලා වගේ...,1
15,6 වෙනි ලමයා ස්වාභාවිකව හම්බුනානම් ඔච්චර කෑගහන්නෙ නෑ ,1
16,60 වත්තේ බඩූවක්,1
17,Hkzz...,0
18,"PHI ලයි, පොලීසියයි නැතුව. එයාල ඇත්ත අය. අපේ අය පහයි...",0
19,retire උනහම තාත්තගෙ චරිතෙට ගත්තනම් හරි,0
20,ROX ,0
21,Unp කියන්නෙ කන්නම ඉපදිච්ච ජාතියක් වැඩිය ඔානෙ නෑ.. මුන්ගෙ කාලෙ හිටපු පොලිස් මාධ්‍ය ප්‍රකාශක හිටියනම් මෙලහටත් හත්පොලේ ගූ ගාගෙන,1
22,video කරද්දි තාත්තා විදියට ගන්න හොදයිනේ බං ... ,0
23,video වල ඉන්න uncle වගේ ,0
24,අකව්න්ට් එක දාපන්,0
25,අකාලෙට ඉපදුන කාවයියෙක්,1
26,අකි විසිස්ටයි ඔබතුමියගේ කතාව අහගන ඉන්න ආසයි කෙරැවන්සරනයි ඔබතුමියට,0
27,අකිල ඉමල්ක,0
28,අකිල ඉමල්ක ජාඇල මචං එකට වරෙන් අද රෑ එතැන සෙට් වෙනවා,0
29,"අකෙ පට්ට..වෙසියෙ..තො.තොගෙ තාත්තට ජතකවද..පහක් වැදුවෙ පදුරැ වෙසි .තො..හිතපිය .තොඉපදුනෙ කොහෙද කියක..බල්ල,මෙවගෙ උතුම් රටක් තවත්..කොහෙද..තියෙන්නෙ..තොකියපු..වචනයක්..ගානෙ..තොගෙ.පවුලටම..සාප.වේවා සාප.වෙවා..සාප.වෙවා",1
30,අක්ක කෙනෙක් නේද,0
31,අක්ක බැදල නැත්තන් අපි පෝලිමක් දාමු අක්කේ...,1
32,අක්කගේ පූසා හොදටම පිං කරලා තියෙනවා ඉන්න...,0
